sect;cell;slot;disc;elem;index;doorsid;model;essname;len[mm];r[mm];s,s[mm];MCS,s,x[mm];MCS,s,y[mm];MCS,s,z[mm];s,m[mm];MCS,m,x[mm];MCS,m,y[mm];MCS,m,z[mm];s,e[mm];MCS,e,x[mm];MCS,e,y[mm];MCS,e,z[mm];TCS,s,x[mm];TCS,s,y[mm];TCS,s,z[mm];TCS,m,x[mm];TCS,m,y[mm];TCS,m,z[mm];TCS,e,x[mm];TCS,e,y[mm];TCS,e,z[mm]
A2T;80;Drf;VAC;Valve;1;;DN160;;0;0;0;0;558014.08;0;0;558014.08;0;0;558014.08;0;0;558014.08;0;0;-44613.074;0;0;-44613.074;0;0;-44613.074
A2T;80;Drf;VAC;Pump;1;;VPT;;0;0;0;0;558508.068;0;0;558508.068;0;0;558508.068;0;0;558508.068;0;0;-44119.086;0;0;-44119.086;0;0;-44119.086
A2T;90;Drf;VAC;Pump;1;;VPT;;0;0;0;0;562301.642;0;0;562301.642;0;0;562301.642;0;0;562301.642;0;0;-40325.512;0;0;-40325.512;0;0;-40325.512
A2T;100;Drf;VAC;Valve;1;;DN160;;0;0;0;0;566302.716;0;0;566302.716;0;0;566302.716;0;0;566302.716;0;0;-36324.438;0;0;-36324.438;0;0;-36324.438
A2T;110;Drf;VAC;Pump;1;;VPT;;0;0;0;0;569289.154;0;0;569289.154;0;0;569289.154;0;0;569289.154;0;0;-33338;0;0;-33338;0;0;-33338
A2T;120;Drf;VAC;Pump;1;;VPT;;0;0;0;0;572668.488;0;0;572668.488;0;0;572668.488;0;0;572668.488;0;0;-29958.666;0;0;-29958.666;0;0;-29958.666
A2T;120;Drf;VAC;Pump;1;;VPT;;0;0;0;0;574779.738;0;0;574779.738;0;0;574779.738;0;0;574779.738;0;0;-27847.416;0;0;-27847.416;0;0;-27847.416
A2T;130;Drf;VAC;Valve;1;;DN160;;0;0;0;0;578795.08;0;0;578795.08;0;0;578795.08;0;0;578795.08;0;0;-23832.074;0;0;-23832.074;0;0;-23832.074
A2T;130;Drf;VAC;Pump;1;;VPT;;0;0;0;0;579215.152;0;0;579215.152;0;0;579215.152;0;0;579215.152;0;0;-23412.002;0;0;-23412.002;0;0;-23412.002
A2T;130;Drf;VAC;Pump;1;;VPT;;0;0;0;0;580015.152;0;0;580015.152;0;0;580015.152;0;0;580015.152;0;0;-22612.002;0;0;-22612.002;0;0;-22612.002
A2T;130;Drf;VAC;Valve;1;;DN40;;0;0;0;0;580403.892;0;0;580403.892;0;0;580403.892;0;0;580403.892;0;0;-22223.262;0;0;-22223.262;0;0;-22223.262